Day,Power_Generated_MWh,Total_Internal_Cons_MWh,Power_Exported_MWh,System_Losses_MWh,Internal_Demand_MWh,Power_Surplus_MWh,Risk_Level,Operational_Reason
Day 221,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 222,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 223,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 224,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 225,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 226,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 227,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 228,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 229,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 230,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 231,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 232,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 233,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 234,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 235,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 236,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 237,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 238,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 239,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 240,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 241,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 242,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 243,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 244,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 245,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 246,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 247,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 248,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 249,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
Day 250,120.0,67.0,0.0,53.0,67.0,53.0,HIGH,Deficit likely.
